start,end,id,type,position,regions,bounding_box,distances,vessel,loitering
2022-02-09T06:59:03Z,2022-02-09T16:56:31Z,74e8f5855701b74147d75d4a3f62ed95,loitering,"{'lat': 25.6729, 'lon': 56.778}","{'mpa': [], 'eez': ['8354'], 'rfmo': ['ACAP', 'IWC', 'IOTC', 'RECOFI'], 'fao': ['51.3', '51'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.70902, 25.688391666666668, 56.84706, 25.657415]","{'start_distance_from_shore_km': 37.0, 'end_distance_from_shore_km': 47.0, 'start_distance_from_port_km': 5.481957, 'end_distance_from_port_km': 19.075115}","{'id': '20018c000-0c69-186b-75ea-a8fc7b73e813', 'name': 'BR VICTORY', 'ssvid': '356370000', 'flag': 'PAN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'are-khorfakkan', 'flag': 'ARE', 'name': 'KHOR FAKKAN', 'portVisitEventId': '99616763e37c7cb0aaa8107bd6f40c30'}}","{'total_time_hours': 9.957775, 'total_distance_km': 17.811995414908456, 'average_speed_knots': 0.9658491086012663, 'average_distance_from_shore_km': 43.0689425020342}"
2022-02-09T18:58:03Z,2022-02-09T23:49:02Z,4939f25f480a16d7bf3b7ca05faa2f00,loitering,"{'lat': 25.7067, 'lon': 56.7799}","{'mpa': [], 'eez': ['8354'], 'rfmo': ['IWC', 'RECOFI', 'ACAP', 'IOTC'], 'fao': ['51.3', '51'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.735506666666666, 25.700288333333333, 56.82428, 25.71314]","{'start_distance_from_shore_km': 39.0, 'end_distance_from_shore_km': 45.0, 'start_distance_from_port_km': 8.682979999999999, 'end_distance_from_port_km': 16.638099999999998}","{'id': '20018c000-0c69-186b-75ea-a8fc7b73e813', 'name': 'BR VICTORY', 'ssvid': '356370000', 'flag': 'PAN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'are-khorfakkan', 'flag': 'ARE', 'name': 'KHOR FAKKAN', 'portVisitEventId': '99616763e37c7cb0aaa8107bd6f40c30'}}","{'total_time_hours': 4.849566666666666, 'total_distance_km': 9.273915249042748, 'average_speed_knots': 1.0325692948632688, 'average_distance_from_shore_km': 42.280458155228175}"
2022-02-14T17:47:26Z,2022-02-16T08:59:46Z,45281898862ce7de2aff588c0b6c1bc9,loitering,"{'lat': 25.6252, 'lon': 56.9609}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['ACAP', 'IWC', 'IOTC', 'RECOFI'], 'fao': ['51.3', '51'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.95976, 25.625875, 56.96206, 25.6245883333]","{'start_distance_from_shore_km': 39.0, 'end_distance_from_shore_km': 39.0, 'start_distance_from_port_km': 30.398318, 'end_distance_from_port_km': 30.582043000000002}","{'id': '6972e1b47-7230-d5cc-e208-75b229140f48', 'name': 'NESHAT', 'ssvid': '422035800', 'flag': 'IRN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'ind-sikka', 'flag': 'IND', 'name': None, 'portVisitEventId': '6b3671fbae6f1ef64c634d84d0b368c2'}}","{'total_time_hours': 39.20533055555556, 'total_distance_km': 1.6740464470872756, 'average_speed_knots': 0.023055863975557474, 'average_distance_from_shore_km': 39.00000000000001}"
2022-02-17T21:58:05Z,2022-02-26T14:58:02Z,01ce83cc26842d38ad1fd0ad3d99437b,loitering,"{'lat': 25.7938, 'lon': 56.8962}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['ACAP', 'IOTC', 'IWC', 'RECOFI'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.89118, 25.79248, 56.90124, 25.795181666666668]","{'start_distance_from_shore_km': 39.0, 'end_distance_from_shore_km': 38.0, 'start_distance_from_port_km': 26.624145000000002, 'end_distance_from_port_km': 28.051148}","{'id': 'ce6bc90bd-d4d8-4f76-8167-7247814aae38', 'name': 'CHEETAH-II', 'ssvid': '355804000', 'flag': 'PAN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'are-fujairah', 'flag': 'ARE', 'name': 'FUJAIRAH', 'portVisitEventId': 'b91c097a8f9330abde7ae144479eb407'}}","{'total_time_hours': 208.99916944444442, 'total_distance_km': 12.596567581623075, 'average_speed_knots': 0.032543681316854096, 'average_distance_from_shore_km': 38.92850516959052}"
2022-02-24T10:56:35Z,2022-02-24T14:42:34Z,fcc2e3ccffc0b9262994948421b7e542,loitering,"{'lat': 25.4439, 'lon': 57.3026}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['RECOFI', 'IWC', 'IOTC', 'ACAP'], 'fao': ['51.3', '51'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[57.29638333333333, 25.44935, 57.3087983333, 25.4385433333]","{'start_distance_from_shore_km': 37.0, 'end_distance_from_shore_km': 38.0, 'start_distance_from_port_km': 41.190949, 'end_distance_from_port_km': 42.360977}","{'id': '5044948d9-924a-c405-569c-9543996721c4', 'name': 'AMETHYST', 'ssvid': '351739000', 'flag': 'PAN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': None, 'flag': None, 'name': None, 'portVisitEventId': None}}","{'total_time_hours': 3.766388888888889, 'total_distance_km': 5.576645035644552, 'average_speed_knots': 0.7994786296064536, 'average_distance_from_shore_km': 37.12795909349158}"
2022-03-01T15:56:31Z,2022-03-02T03:57:56Z,901d014ad5bdf8fb8e28e46ee1a2fba9,loitering,"{'lat': 25.553, 'lon': 56.7973}","{'mpa': [], 'eez': ['8360'], 'rfmo': ['IWC', 'ACAP', 'RECOFI', 'IOTC'], 'fao': ['51.3', '51'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.830223333333336, 25.50204, 56.76438, 25.603955]","{'start_distance_from_shore_km': 47.0, 'end_distance_from_shore_km': 41.0, 'start_distance_from_port_km': 23.12918, 'end_distance_from_port_km': 11.522758}","{'id': '903d28b4d-dd8d-3608-b91c-337b486454df', 'name': 'WADI BANI KHALID', 'ssvid': '538003252', 'flag': 'MHL', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'omn-sohar', 'flag': 'OMN', 'name': None, 'portVisitEventId': '7bd073fcc27d66f0e70c5751f6320b9b'}}","{'total_time_hours': 12.023616666666666, 'total_distance_km': 14.679373642720588, 'average_speed_knots': 0.6592215876966255, 'average_distance_from_shore_km': 43.2324133560821}"
2022-03-06T17:56:05Z,2022-03-07T05:55:03Z,4984f6870b7175f69b222f11c6ed53b7,loitering,"{'lat': 25.6702, 'lon': 56.9464}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['IOTC', 'ACAP', 'IWC', 'RECOFI'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.946481666666664, 25.667656666666666, 56.946396666666665, 25.672816666666666]","{'start_distance_from_shore_km': 38.0, 'end_distance_from_shore_km': 38.0, 'start_distance_from_port_km': 29.06392, 'end_distance_from_port_km': 29.06392}","{'id': '627d6d061-1435-5c7e-a164-737665d87526', 'name': 'INTER SYDNEY', 'ssvid': '376908000', 'flag': 'VCT', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'are-khorfakkan', 'flag': 'ARE', 'name': 'KHOR FAKKAN', 'portVisitEventId': '73e312675489124982c89b7d5700b949'}}","{'total_time_hours': 11.982947222222224, 'total_distance_km': 2.1543953931456388, 'average_speed_knots': 0.09707799160671984, 'average_distance_from_shore_km': 38.08302242734038}"
2022-03-14T08:58:45Z,2022-03-14T10:56:26Z,258bed8f5f618a4baf914c5dc8b8b9fb,loitering,"{'lat': 25.5044, 'lon': 56.7992}","{'mpa': [], 'eez': ['8360'], 'rfmo': ['IOTC', 'RECOFI', 'IWC', 'ACAP'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.79886, 25.51536, 56.79951166666667, 25.493361666666665]","{'start_distance_from_shore_km': 44.0, 'end_distance_from_shore_km': 44.0, 'start_distance_from_port_km': 19.389706999999998, 'end_distance_from_port_km': 21.650629000000002}","{'id': 'c1a71fdb6-68d0-a4c9-51a7-ca604af96a95', 'name': 'OSHAIRIJ', 'ssvid': '466061000', 'flag': 'QAT', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'omn-sohar', 'flag': 'OMN', 'name': None, 'portVisitEventId': '181ab3028a70d2d5c2ddc1285a5f0b65'}}","{'total_time_hours': 1.9615027777777772, 'total_distance_km': 2.550591519981693, 'average_speed_knots': 0.7021194461987232, 'average_distance_from_shore_km': 44.00000000000001}"
2022-03-14T12:59:13Z,2022-03-14T19:56:27Z,d8a2d6e00bf4cf883ad672272b5f97a5,loitering,"{'lat': 25.5386, 'lon': 56.9105}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['IOTC', 'ACAP', 'RECOFI', 'IWC'], 'fao': ['51.3', '51'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.933218333333336, 25.532305, 56.887705, 25.544988333333333]","{'start_distance_from_shore_km': 47.0, 'end_distance_from_shore_km': 50.0, 'start_distance_from_port_km': 30.204141, 'end_distance_from_port_km': 26.067541000000002}","{'id': 'c1a71fdb6-68d0-a4c9-51a7-ca604af96a95', 'name': 'OSHAIRIJ', 'ssvid': '466061000', 'flag': 'QAT', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'omn-sohar', 'flag': 'OMN', 'name': None, 'portVisitEventId': '181ab3028a70d2d5c2ddc1285a5f0b65'}}","{'total_time_hours': 6.9539611111111155, 'total_distance_km': 6.568347488914194, 'average_speed_knots': 0.5100149191852255, 'average_distance_from_shore_km': 49.534757533480345}"
2022-03-14T15:59:45Z,2022-03-16T17:57:32Z,679ef8b683724848039a34b2ebe0516b,loitering,"{'lat': 25.7437, 'lon': 56.8928}","{'mpa': [], 'eez': ['8469'], 'rfmo': ['RECOFI', 'IOTC', 'IWC', 'ACAP'], 'fao': ['51', '51.3'], 'major_fao': ['51'], 'eez_12_nm': [], 'high_seas': [], 'mpa_no_take_partial': [], 'mpa_no_take': []}","[56.89176, 25.742406666666668, 56.893813333333334, 25.74493]","{'start_distance_from_shore_km': 41.0, 'end_distance_from_shore_km': 41.0, 'start_distance_from_port_km': 24.32298, 'end_distance_from_port_km': 24.32298}","{'id': '44c32ece2-23c8-7b11-34d5-2b249bfbad68', 'name': 'LAZORD A', 'ssvid': '352050000', 'flag': 'PAN', 'type': 'cargo', 'public_authorizations': [], 'nextPort': {'id': 'ind-jaigarh', 'flag': 'IND', 'name': None, 'portVisitEventId': 'c32031a9d096cd44e4458755959facef'}}","{'total_time_hours': 49.96305555555554, 'total_distance_km': 3.6172915631490916, 'average_speed_knots': 0.039092508812507185, 'average_distance_from_shore_km': 41.00000000000001}"
