SHIP_ID,IMO,MMSI,CALLSIGN,SHIPNAME,TYPE_COLOR,LAST_POS,CODE2,COUNTRY,COUNT_PHOTOS,NEXT_PORT_NAME,NEXT_PORT_COUNTRY,NEXT_PORT_ID,ETA,DESTINATION,CURRENT_PORT_COUNTRY,TYPE_SUMMARY,COURSE,LON,LAT,TIMEZONE,ETA_OFFSET,SPEED,ETA_UPDATED,DISTANCE_TO_GO,PORT_ID,CURRENT_PORT,CTA_ROUTE_FORECAST
463896,9337391,372939000,3ELG3,ATHENS VOYAGER,8,1785644021,PA,PANAMA,45,FUJAIRAH,AE,790,1785520800,FUJAIRAH,AE,Tanker,31,56.5121,25.178766,4.0,4,0.0,,0,20585,FUJAIRAH ANCH,false
204667,9134828,352002500,3E2653,DENIZ,8,1713183169,PA,PANAMA,221,FUJAIRAH,AE,790,1707699600,FUJAIRAH UAE,IQ,Tanker,313,47.885765,30.192774,3.0,4,0.0,,0,19586,KHOR AL ZUBAIR,false
9740740,9254422,307203000,P4CXU,CORAL WAVE,8,1785644403,AW,ARUBA,212,SHINAS,OM,18580,1784176200,SHINAS,,Tanker,308,56.699638,24.857773,4.0,4,0.6,,0,,,false
417211,9406166,210761000,5BZW6,GRAND LADY,8,1780844894,CY,CYPRUS,21,,,,1779296400,FOR ORDERS,,Tanker,109,54.521999,25.912289,3.5,,,,0,,,false
1042784,9240914,518998388,E5U4368,CHEM,8,1785246705,CK,COOK ISLANDS,27,,,,-2208988800,BASARA,IR,Tanker,,50.694595,28.970936,4.5,,0.1,,0,22782,BUSHEHR ANCH,false
673639,9139696,613003592,TJMC178,G SILVER,8,1785643888,CM,CAMEROON,11,SOHAR,OM,18567,1785627000,SOHAR,OM,Tanker,206,56.687653,24.664776,4.0,4,0.0,,0,22481,SOHAR ANCH,false
715882,9228655,268261701,T7EC8,LUCIA A,8,1785643990,SM,SAN MARINO,42,KHOR FAKKAN,AE,18560,1785657600,KHAWR FAKKAN,AE,Tanker,109,56.563015,25.396851,4.0,4,0.2,2026-08-02 03:48:00,3,20586,KHOR FAKKAN ANCH,true
711682,9308089,311001888,C6JJ6,DE XI,8,1785644155,BS,BAHAMAS,42,,,,1783382400,OPL,,Tanker,352,56.896614,24.962133,4.0,,1.0,,0,,,false
676014,9653410,447190000,9KFP,AL DERWAZAH,8,1779597910,KW,KUWAIT,8,FUJAIRAH,AE,790,1778367600,FUJAIRAH OPL,,Tanker,326,57.155869,24.945412,4.0,4,0.3,,0,,,false
475439,9595644,403527001,HZEY,NCC FAJR,8,1785644132,SA,SAUDI ARABIA,7,FUJAIRAH,AE,790,1784178000,AE FJR,,Tanker,339,57.079906,25.12166,4.0,4,1.2,,0,,,false
755098,9487251,636014943,A8XN8,DIYYINAH I,8,1783521580,LR,LIBERIA,8,RUWAIS,AE,1695,1783540860,AE RUW,,Tanker,195,52.958199,24.861107,4.0,4,13.8,,0,,,false
753863,9316593,352001463,3E2482,PS PELICAN,8,1785643924,PA,PANAMA,84,KHOR FAKKAN,AE,18560,1784332800,AEKLF,AE,Tanker,91,56.486786,25.408937,4.0,4,0.1,,0,20586,KHOR FAKKAN ANCH,false
